Intervalo 0
parec -> 0.013468013468013467
olh -> 0.013468013468013467
vitor -> 0.013628346961680296
bom -> 0.013628346961680296
assim -> 0.013628346961680296
voc -> 0.013788680455347122
mund -> 0.013788680455347122
hoj -> 0.013788680455347122
y -> 0.013949013949013949
sofr -> 0.014109347442680775
deix -> 0.014109347442680775

Intervalo 17
bor -> 0.010117526826775677
reag -> 0.010219724067450179
contr -> 0.01032192130812468
sneijd -> 0.01032192130812468
p -> 0.010424118548799183
fod -> 0.010526315789473684
pass -> 0.010730710270822688
caralh -> 0.01083290751149719
diz -> 0.01083290751149719
nad -> 0.01093510475217169
hoj -> 0.01093510475217169
outr -> 0.01093510475217169
tav -> 0.011139499233520695
s -> 0.011139499233520695
car -> 0.011241696474195196
go -> 0.011343893714869699
menos -> 0.0114460909555442
deix -> 0.011548288196218701
tud -> 0.011548288196218701
cu -> 0.011548288196218701
fud -> 0.011752682677567705
vc -> 0.011854879918242207
ate -> 0.011854879918242207
aqu -> 0.011854879918242207
pas -> 0.01195707715891671
par -> 0.01195707715891671
sair -> 0.01195707715891671
bom -> 0.01205927439959121
va -> 0.01205927439959121
dess -> 0.012468063362289217
@eduardosurita -> 0.012876852324987226
culp -> 0.012876852324987226
voc -> 0.012876852324987226
cois -> 0.013081246806336228
minut -> 0.013285641287685232
prim -> 0.013490035769034237
http -> 0.013592233009708738
y -> 0.013694430250383239
el -> 0.013796627491057742
ness -> 0.013796627491057742
put -> 0.013796627491057742
comec -> 0.013898824731732243
hor -> 0.013898824731732243
elimin -> 0.013898824731732243
pued -> 0.014001021972406744
ne -> 0.014205416453755748
2x1 -> 0.014512008175779254
assim -> 0.014614205416453755
empat -> 0.015022994379151763
kak -> 0.015022994379151763

Intervalo 18
ia -> 0.010021097046413503
fez -> 0.010021097046413503
n -> 0.010109001406469762
filh -> 0.010109001406469762
p -> 0.010109001406469762
part -> 0.010109001406469762
hor -> 0.010109001406469762
es -> 0.010109001406469762
vez -> 0.010196905766526019
pass -> 0.010284810126582278
mell -> 0.010372714486638537
sair -> 0.010460618846694796
s -> 0.010548523206751054
fod -> 0.010636427566807313
sent -> 0.010724331926863572
lev -> 0.010988045007032349
precis -> 0.011251758087201125
comec -> 0.011427566807313643
mat -> 0.011603375527426161
parab -> 0.01169127988748242
x -> 0.01169127988748242
dev -> 0.011779184247538679
va -> 0.011954992967651195
juiz -> 0.012130801687763712
empat -> 0.012130801687763712
ness -> 0.012218706047819971
cad -> 0.01230661040787623
tav -> 0.01230661040787623
aqu -> 0.012482419127988748
final -> 0.012482419127988748
nad -> 0.012570323488045007
assim -> 0.012746132208157524
tens -> 0.012834036568213783
falt -> 0.013185654008438819
kak -> 0.013273558368495078
min -> 0.013361462728551337
diz -> 0.013361462728551337
argentin -> 0.013449367088607595
melhor -> 0.013537271448663854
fud -> 0.013537271448663854
pq -> 0.013625175808720113
da -> 0.013625175808720113
vc -> 0.01380098452883263
bom -> 0.013888888888888888
dess -> 0.013976793248945147
ate -> 0.013976793248945147
@eduardosurita -> 0.014328410689170182
hex -> 0.014855836849507736
ne -> 0.014943741209563995
put -> 0.015031645569620253

Intervalo 19
filh -> 0.01005305780508238
juiz -> 0.01005305780508238
n -> 0.010239225542213534
ia -> 0.010239225542213534
p -> 0.010611561016475845
elimin -> 0.010611561016475845
acontec -> 0.010611561016475845
tecn -> 0.010704644885041423
assist -> 0.010704644885041423
diz -> 0.010797728753607
s -> 0.010890812622172577
@claroronaldo -> 0.011076980359303733
pens -> 0.011076980359303733
kak -> 0.01117006422786931
part -> 0.011263148096434888
x -> 0.011356231965000465
assim -> 0.011449315833566042
deix -> 0.011449315833566042
porqu -> 0.011914735176393932
#arg -> 0.011914735176393932
